,Estrato_Socioeconómico,Perspectiva_SE_14_años,Opinión_Situación_Económica,Factor_Expansión
369,Medio bajo,8,6,388596
370,Medio bajo,8,7,392984
371,Medio bajo,8,8,398098
372,Medio bajo,8,9,34165
373,Medio bajo,8,10,12033
374,Medio bajo,9,1,15208
375,Medio bajo,9,2,37989
376,Medio bajo,9,3,17383
377,Medio bajo,9,4,65720
378,Medio bajo,9,5,148500
379,Medio bajo,9,6,119623
380,Medio bajo,9,7,371050
381,Medio bajo,9,8,183856
382,Medio bajo,9,9,32254
383,Medio bajo,9,10,1563
384,Medio bajo,10,1,51295
385,Medio bajo,10,2,16324
386,Medio bajo,10,3,38686
387,Medio bajo,10,4,50806
388,Medio bajo,10,5,162986
389,Medio bajo,10,6,63155
390,Medio bajo,10,7,92732
391,Medio bajo,10,8,140309
392,Medio bajo,10,9,63168
393,Medio bajo,10,10,55389
