,Origen_Racial,Perspectiva_SE_14_años,Opinión_Situación_Económica,Factor_Expansión
446,No sabe,7,9,16589
447,No sabe,7,10,3860
448,No sabe,8,1,25278
449,No sabe,8,2,16865
450,No sabe,8,3,28242
451,No sabe,8,4,29082
452,No sabe,8,5,108600
453,No sabe,8,6,52580
454,No sabe,8,7,66505
455,No sabe,8,8,85661
456,No sabe,8,9,18610
457,No sabe,8,10,2750
458,No sabe,9,1,7027
459,No sabe,9,2,4969
460,No sabe,9,3,5526
461,No sabe,9,4,10267
462,No sabe,9,5,39324
463,No sabe,9,6,18100
464,No sabe,9,7,49503
465,No sabe,9,8,45244
466,No sabe,9,9,1514
467,No sabe,10,1,18482
468,No sabe,10,2,8574
469,No sabe,10,3,2823
470,No sabe,10,4,8327
471,No sabe,10,5,47946
472,No sabe,10,6,8929
473,No sabe,10,7,14233
474,No sabe,10,8,49108
475,No sabe,10,9,21670
476,No sabe,10,10,28533
477,Otra Raza,1,1,9408
478,Otra Raza,1,2,6277
479,Otra Raza,1,3,3036
480,Otra Raza,1,4,1901
481,Otra Raza,1,5,6761
482,Otra Raza,1,8,2322
483,Otra Raza,1,10,2278
484,Otra Raza,2,2,4153
485,Otra Raza,2,3,20731
486,Otra Raza,2,5,818
487,Otra Raza,2,6,10780
488,Otra Raza,3,3,701
489,Otra Raza,3,4,1137
490,Otra Raza,3,5,17430
491,Otra Raza,3,6,4831
492,Otra Raza,3,8,6079
493,Otra Raza,3,9,356
494,Otra Raza,4,1,2190
495,Otra Raza,4,3,3087
496,Otra Raza,4,4,5480
497,Otra Raza,4,5,15285
498,Otra Raza,4,6,14815
499,Otra Raza,4,8,1170
500,Otra Raza,5,5,6241
501,Otra Raza,5,6,3806
502,Otra Raza,5,7,5668
503,Otra Raza,5,8,11637
504,Otra Raza,6,1,1832
505,Otra Raza,6,2,1195
506,Otra Raza,6,3,846
507,Otra Raza,6,4,1147
508,Otra Raza,6,6,6034
509,Otra Raza,6,7,1559
510,Otra Raza,6,8,4813
511,Otra Raza,6,9,3129
512,Otra Raza,7,4,3154
513,Otra Raza,7,5,5287
514,Otra Raza,7,7,2426
515,Otra Raza,7,8,5238
516,Otra Raza,8,2,1806
517,Otra Raza,8,3,1316
518,Otra Raza,8,4,18988
519,Otra Raza,8,5,34997
520,Otra Raza,8,6,2813
521,Otra Raza,8,7,1244
522,Otra Raza,8,8,10095
523,Otra Raza,9,6,8834
524,Otra Raza,9,7,1178
525,Otra Raza,9,8,435
526,Otra Raza,9,9,2904
527,Otra Raza,10,5,2640
528,Otra Raza,10,7,406
529,Otra Raza,10,8,1412
530,Otra Raza,10,10,7665
