,Varible,Perspectiva_SE_14_años,Opinión_Situación_Económica,Factor_Expansión,Demográfico
361,Negra o Mulata,8,4,2492,Origen_Racial
362,Negra o Mulata,8,5,33665,Origen_Racial
363,Negra o Mulata,8,6,24324,Origen_Racial
364,Negra o Mulata,8,7,17443,Origen_Racial
365,Negra o Mulata,8,8,12736,Origen_Racial
366,Negra o Mulata,8,9,9201,Origen_Racial
367,Negra o Mulata,8,10,4207,Origen_Racial
368,Negra o Mulata,9,5,5662,Origen_Racial
369,Negra o Mulata,9,6,4954,Origen_Racial
370,Negra o Mulata,9,7,14656,Origen_Racial
371,Negra o Mulata,9,8,23326,Origen_Racial
372,Negra o Mulata,10,2,2764,Origen_Racial
373,Negra o Mulata,10,3,878,Origen_Racial
374,Negra o Mulata,10,4,1748,Origen_Racial
375,Negra o Mulata,10,5,12430,Origen_Racial
376,Negra o Mulata,10,6,3570,Origen_Racial
377,Negra o Mulata,10,7,5241,Origen_Racial
378,Negra o Mulata,10,8,6832,Origen_Racial
379,Negra o Mulata,10,10,1094,Origen_Racial
380,No sabe,1,1,514022,Origen_Racial
381,No sabe,1,2,239019,Origen_Racial
382,No sabe,1,3,291256,Origen_Racial
383,No sabe,1,4,104527,Origen_Racial
384,No sabe,1,5,217719,Origen_Racial
385,No sabe,1,6,33234,Origen_Racial
386,No sabe,1,7,12860,Origen_Racial
387,No sabe,1,8,24840,Origen_Racial
388,No sabe,1,9,4767,Origen_Racial
389,No sabe,1,10,2799,Origen_Racial
390,No sabe,2,1,26997,Origen_Racial
391,No sabe,2,2,100882,Origen_Racial
392,No sabe,2,3,165365,Origen_Racial
393,No sabe,2,4,221269,Origen_Racial
394,No sabe,2,5,205852,Origen_Racial
395,No sabe,2,6,55244,Origen_Racial
396,No sabe,2,7,12397,Origen_Racial
397,No sabe,2,8,14800,Origen_Racial
398,No sabe,2,9,6975,Origen_Racial
399,No sabe,3,1,18177,Origen_Racial
400,No sabe,3,2,52785,Origen_Racial
401,No sabe,3,3,81469,Origen_Racial
402,No sabe,3,4,130415,Origen_Racial
403,No sabe,3,5,385666,Origen_Racial
404,No sabe,3,6,95002,Origen_Racial
405,No sabe,3,7,69812,Origen_Racial
406,No sabe,3,8,11187,Origen_Racial
407,No sabe,3,9,1867,Origen_Racial
408,No sabe,3,10,912,Origen_Racial
409,No sabe,4,1,17784,Origen_Racial
410,No sabe,4,2,32505,Origen_Racial
411,No sabe,4,3,33528,Origen_Racial
412,No sabe,4,4,133533,Origen_Racial
413,No sabe,4,5,198712,Origen_Racial
414,No sabe,4,6,142254,Origen_Racial
415,No sabe,4,7,97060,Origen_Racial
416,No sabe,4,8,29776,Origen_Racial
417,No sabe,4,9,1181,Origen_Racial
418,No sabe,4,10,3488,Origen_Racial
419,No sabe,5,1,38515,Origen_Racial
420,No sabe,5,2,25356,Origen_Racial
421,No sabe,5,3,68006,Origen_Racial
422,No sabe,5,4,60323,Origen_Racial
423,No sabe,5,5,311093,Origen_Racial
424,No sabe,5,6,75659,Origen_Racial
425,No sabe,5,7,178278,Origen_Racial
426,No sabe,5,8,87466,Origen_Racial
427,No sabe,5,9,3509,Origen_Racial
428,No sabe,5,10,7285,Origen_Racial
429,No sabe,6,1,20059,Origen_Racial
430,No sabe,6,2,10115,Origen_Racial
431,No sabe,6,3,36299,Origen_Racial
432,No sabe,6,4,56592,Origen_Racial
433,No sabe,6,5,44243,Origen_Racial
434,No sabe,6,6,88559,Origen_Racial
435,No sabe,6,7,59332,Origen_Racial
436,No sabe,6,8,59791,Origen_Racial
437,No sabe,6,10,8397,Origen_Racial
438,No sabe,7,1,15084,Origen_Racial
439,No sabe,7,2,17026,Origen_Racial
440,No sabe,7,3,6419,Origen_Racial
441,No sabe,7,4,43817,Origen_Racial
442,No sabe,7,5,134167,Origen_Racial
443,No sabe,7,6,51377,Origen_Racial
444,No sabe,7,7,84207,Origen_Racial
445,No sabe,7,8,57147,Origen_Racial
446,No sabe,7,9,16589,Origen_Racial
447,No sabe,7,10,3860,Origen_Racial
448,No sabe,8,1,25278,Origen_Racial
449,No sabe,8,2,16865,Origen_Racial
450,No sabe,8,3,28242,Origen_Racial
451,No sabe,8,4,29082,Origen_Racial
452,No sabe,8,5,108600,Origen_Racial
453,No sabe,8,6,52580,Origen_Racial
454,No sabe,8,7,66505,Origen_Racial
455,No sabe,8,8,85661,Origen_Racial
456,No sabe,8,9,18610,Origen_Racial
457,No sabe,8,10,2750,Origen_Racial
458,No sabe,9,1,7027,Origen_Racial
459,No sabe,9,2,4969,Origen_Racial
460,No sabe,9,3,5526,Origen_Racial
461,No sabe,9,4,10267,Origen_Racial
462,No sabe,9,5,39324,Origen_Racial
463,No sabe,9,6,18100,Origen_Racial
464,No sabe,9,7,49503,Origen_Racial
465,No sabe,9,8,45244,Origen_Racial
466,No sabe,9,9,1514,Origen_Racial
467,No sabe,10,1,18482,Origen_Racial
468,No sabe,10,2,8574,Origen_Racial
469,No sabe,10,3,2823,Origen_Racial
470,No sabe,10,4,8327,Origen_Racial
471,No sabe,10,5,47946,Origen_Racial
472,No sabe,10,6,8929,Origen_Racial
473,No sabe,10,7,14233,Origen_Racial
474,No sabe,10,8,49108,Origen_Racial
475,No sabe,10,9,21670,Origen_Racial
476,No sabe,10,10,28533,Origen_Racial
477,Otra Raza,1,1,9408,Origen_Racial
478,Otra Raza,1,2,6277,Origen_Racial
479,Otra Raza,1,3,3036,Origen_Racial
480,Otra Raza,1,4,1901,Origen_Racial
481,Otra Raza,1,5,6761,Origen_Racial
482,Otra Raza,1,8,2322,Origen_Racial
483,Otra Raza,1,10,2278,Origen_Racial
484,Otra Raza,2,2,4153,Origen_Racial
485,Otra Raza,2,3,20731,Origen_Racial
486,Otra Raza,2,5,818,Origen_Racial
487,Otra Raza,2,6,10780,Origen_Racial
488,Otra Raza,3,3,701,Origen_Racial
489,Otra Raza,3,4,1137,Origen_Racial
490,Otra Raza,3,5,17430,Origen_Racial
491,Otra Raza,3,6,4831,Origen_Racial
492,Otra Raza,3,8,6079,Origen_Racial
493,Otra Raza,3,9,356,Origen_Racial
494,Otra Raza,4,1,2190,Origen_Racial
495,Otra Raza,4,3,3087,Origen_Racial
496,Otra Raza,4,4,5480,Origen_Racial
497,Otra Raza,4,5,15285,Origen_Racial
498,Otra Raza,4,6,14815,Origen_Racial
499,Otra Raza,4,8,1170,Origen_Racial
500,Otra Raza,5,5,6241,Origen_Racial
501,Otra Raza,5,6,3806,Origen_Racial
502,Otra Raza,5,7,5668,Origen_Racial
503,Otra Raza,5,8,11637,Origen_Racial
504,Otra Raza,6,1,1832,Origen_Racial
505,Otra Raza,6,2,1195,Origen_Racial
506,Otra Raza,6,3,846,Origen_Racial
507,Otra Raza,6,4,1147,Origen_Racial
508,Otra Raza,6,6,6034,Origen_Racial
509,Otra Raza,6,7,1559,Origen_Racial
510,Otra Raza,6,8,4813,Origen_Racial
511,Otra Raza,6,9,3129,Origen_Racial
512,Otra Raza,7,4,3154,Origen_Racial
513,Otra Raza,7,5,5287,Origen_Racial
514,Otra Raza,7,7,2426,Origen_Racial
515,Otra Raza,7,8,5238,Origen_Racial
516,Otra Raza,8,2,1806,Origen_Racial
517,Otra Raza,8,3,1316,Origen_Racial
518,Otra Raza,8,4,18988,Origen_Racial
519,Otra Raza,8,5,34997,Origen_Racial
520,Otra Raza,8,6,2813,Origen_Racial
521,Otra Raza,8,7,1244,Origen_Racial
522,Otra Raza,8,8,10095,Origen_Racial
523,Otra Raza,9,6,8834,Origen_Racial
524,Otra Raza,9,7,1178,Origen_Racial
525,Otra Raza,9,8,435,Origen_Racial
526,Otra Raza,9,9,2904,Origen_Racial
527,Otra Raza,10,5,2640,Origen_Racial
528,Otra Raza,10,7,406,Origen_Racial
529,Otra Raza,10,8,1412,Origen_Racial
530,Otra Raza,10,10,7665,Origen_Racial
