,Variable,Perspectiva_SE_14_años,Opinión_Situación_Económica,Factor_Expansión,Demográfico
417,7,3,7,181518,Color_Piel
418,7,3,8,94671,Color_Piel
419,7,3,9,13036,Color_Piel
420,7,3,10,8369,Color_Piel
421,7,4,1,39618,Color_Piel
422,7,4,2,56559,Color_Piel
423,7,4,3,64960,Color_Piel
424,7,4,4,338442,Color_Piel
425,7,4,5,597864,Color_Piel
426,7,4,6,584261,Color_Piel
427,7,4,7,313875,Color_Piel
428,7,4,8,155081,Color_Piel
429,7,4,9,5733,Color_Piel
430,7,4,10,3146,Color_Piel
431,7,5,1,92974,Color_Piel
432,7,5,2,54684,Color_Piel
433,7,5,3,148628,Color_Piel
434,7,5,4,188732,Color_Piel
435,7,5,5,748842,Color_Piel
436,7,5,6,354640,Color_Piel
437,7,5,7,719197,Color_Piel
438,7,5,8,205828,Color_Piel
439,7,5,9,4255,Color_Piel
440,7,5,10,11380,Color_Piel
441,7,6,1,39554,Color_Piel
442,7,6,2,47329,Color_Piel
443,7,6,3,87777,Color_Piel
444,7,6,4,173845,Color_Piel
445,7,6,5,149477,Color_Piel
446,7,6,6,350797,Color_Piel
447,7,6,7,269443,Color_Piel
448,7,6,8,306741,Color_Piel
449,7,6,9,28263,Color_Piel
450,7,6,10,3995,Color_Piel
451,7,7,1,21780,Color_Piel
452,7,7,2,11806,Color_Piel
453,7,7,3,51777,Color_Piel
454,7,7,4,109607,Color_Piel
455,7,7,5,301122,Color_Piel
456,7,7,6,181404,Color_Piel
457,7,7,7,412975,Color_Piel
458,7,7,8,155791,Color_Piel
459,7,7,9,22697,Color_Piel
460,7,7,10,12361,Color_Piel
461,7,8,1,35855,Color_Piel
462,7,8,2,46131,Color_Piel
463,7,8,3,44058,Color_Piel
464,7,8,4,93042,Color_Piel
465,7,8,5,321035,Color_Piel
466,7,8,6,266105,Color_Piel
467,7,8,7,235317,Color_Piel
468,7,8,8,255623,Color_Piel
469,7,8,9,30500,Color_Piel
470,7,8,10,2343,Color_Piel
471,7,9,1,8743,Color_Piel
472,7,9,2,17340,Color_Piel
